排名,学校名称,软科总得分
489,伊犁师范大学,n_
490,山东农业工程学院,102.5
491,辽宁科技学院,102.3
492,琼台师范学院,102
493,红河学院,101.9
494,湖州学院,101.7
495,山东青年政治学院,101.6
496,六盘水师范学院,101.3
497,梧州学院,100.7
498,呼伦贝尔学院,100.6
499,河北民族师范学院,oi
500,兰州城市学院,oi
501,凯里学院,dV
502,兰州工业学院,dV
503,郑州工程技术学院,dV
504,福建技术师范学院,100
505,阿坝师范学院,ok
506,贵阳康养职业大学,ok
507,安顺学院,ol
508,大庆师范学院,ol
509,萍乡学院,99.1
510,南京特殊教育师范学院,98.9
511,郑州师范学院,98.8
512,长沙师范学院,op
513,赣南科技学院,op
514,桂林航天工业学院,oq
515,晋中学院,oq
516,菏泽学院,98
517,邯郸学院,os
518,河北环境工程学院,os
519,楚雄师范学院,97.6
520,白城师范学院,ou
521,华北科技学院,ou
522,池州学院,97.4
523,太原工业学院,97.3
524,济宁学院,97.2
525,保定学院,96.9
526,景德镇学院,oz
527,忻州师范学院,oz
528,蚌埠学院,96.2
529,广州航海学院,oB
530,集宁师范学院,oB
531,山西大同大学,95.7
532,兴义民族师范学院,95.6
533,四川文理学院,95.3
534,鄂尔多斯应用技术学院,95.1
535,广西民族师范学院,94.4
536,天津中德应用技术大学,94.3
537,山西电子科技学院,94.1
538,百色学院,oH
539,绥化学院,oH
540,河南工学院,oI
541,苏州城市学院,oI
542,新余学院,93.8
543,亳州学院,92.7
544,吉林工程技术师范学院,92.2
545,河套学院,92.1
546,黑河学院,92
547,吕梁学院,91.9
548,荆楚理工学院,91.7
549,贵州工程应用技术学院,91.5
550,山西能源学院,90.9
551,南京工业职业技术大学,90.5
552,石家庄学院,90
553,兰州文理学院,oQ
554,新疆工程学院,oQ
555,广西科技师范学院,89.7
556,张家口学院,89.5
557,衡水学院,88.6
558,黔南民族师范学院,oU
559,四川民族学院,oU
560,保山学院,88.1
561,赣东学院,87.5
562,山西工程技术学院,87.1
563,河池学院,86.5
564,普洱学院,85.9
565,韶关学院,85.2
566,嘉应学院,85.1
567,河北水利电力学院,84.8
568,豫章师范学院,84.7
569,西安航空学院,84.6
570,汉江师范学院,pd
571,新乡学院,pd
572,滇西科技师范学院,84
573,黑龙江工业学院,82.3
574,新疆理工学院,81
575,昌吉学院,80.9
576,太原学院,80.5
